safe_file,original_file,title,artist,license,source,attribution,mood
music_safe/track-046.mp3,Pierce Murphy - A Serpent I Did Hear.mp3,A Serpent I Did Hear,Pierce Murphy,CC BY 4.0,https://freemusicarchive.org/music/Pierce_Murphy/,Pierce Murphy - A Serpent I Did Hear - CC BY 4.0,chill
music_safe/track-047.mp3,Pierce Murphy - Caldera Blue.mp3,Caldera Blue,Pierce Murphy,CC BY 4.0,https://freemusicarchive.org/music/Pierce_Murphy/,Pierce Murphy - Caldera Blue - CC BY 4.0,jazz
music_safe/track-048.mp3,Pierce Murphy - Devil In A Falling Sky.mp3,Devil In A Falling Sky,Pierce Murphy,CC BY 4.0,https://freemusicarchive.org/music/Pierce_Murphy/,Pierce Murphy - Devil In A Falling Sky - CC BY 4.0,chill
music_safe/track-049.mp3,Pierce Murphy - Hey Mercy.mp3,Hey Mercy,Pierce Murphy,CC BY 4.0,https://freemusicarchive.org/music/Pierce_Murphy/,Pierce Murphy - Hey Mercy - CC BY 4.0,chill
music_safe/track-050.mp3,Pierce Murphy - Satellite.mp3,Satellite,Pierce Murphy,CC BY 4.0,https://freemusicarchive.org/music/Pierce_Murphy/,Pierce Murphy - Satellite - CC BY 4.0,chill
music_safe/track-051.mp3,Pierce Murphy - Sparkling Impermanence.mp3,Sparkling Impermanence,Pierce Murphy,CC BY 4.0,https://freemusicarchive.org/music/Pierce_Murphy/,Pierce Murphy - Sparkling Impermanence - CC BY 4.0,chill
music_safe/track-052.mp3,Pierce Murphy - The Shadow Of The Bluff.mp3,The Shadow Of The Bluff,Pierce Murphy,CC BY 4.0,https://freemusicarchive.org/music/Pierce_Murphy/,Pierce Murphy - The Shadow Of The Bluff - CC BY 4.0,evening
music_safe/track-053.mp3,Pierce Murphy - This Dream I Had.mp3,This Dream I Had,Pierce Murphy,CC BY 4.0,https://freemusicarchive.org/music/Pierce_Murphy/,Pierce Murphy - This Dream I Had - CC BY 4.0,evening
music_safe/track-054.mp3,Pierce Murphy - Try To Be Nice.mp3,Try To Be Nice,Pierce Murphy,CC BY 4.0,https://freemusicarchive.org/music/Pierce_Murphy/,Pierce Murphy - Try To Be Nice - CC BY 4.0,chill
music_safe/track-055.mp3,Pierce Murphy - Wicked.mp3,Wicked,Pierce Murphy,CC BY 4.0,https://freemusicarchive.org/music/Pierce_Murphy/,Pierce Murphy - Wicked - CC BY 4.0,chill
music_safe/track-056.mp3,Pierce Murphy - You Get What You Get.mp3,You Get What You Get,Pierce Murphy,CC BY 4.0,https://freemusicarchive.org/music/Pierce_Murphy/,Pierce Murphy - You Get What You Get - CC BY 4.0,chill
music_safe/track-057.mp3,SUPERARE - Replay.mp3,Replay,SUPERARE,CC0 1.0 Universal,https://freemusicarchive.org/music/superare/,SUPERARE - Replay - CC0 1.0 Universal,chill
music_safe/track-059.mp3,A. Cooper - Dreams.mp3,Dreams,A. Cooper,CC BY 4.0,https://freemusicarchive.org/music/a-cooper/the-anthony-cooper-abm-vi/dreams-6/,A. Cooper - Dreams - CC BY 4.0,evening
music_safe/track-060.mp3,Adeline Yeo (HP) - 岁月的痕迹 (SuiYueDeHenJi).mp3,岁月的痕迹 (SuiYueDeHenJi),Adeline Yeo (HP),CC BY 4.0,https://freemusicarchive.org/music/adeline-yeo-hp/single/suiyuedehenji/,Adeline Yeo (HP) - 岁月的痕迹 (SuiYueDeHenJi) - CC BY 4.0,chill
music_safe/track-061.mp3,Adeline Yeo (HP) - 心跳的声音 (XinTiaoDeShengYin).mp3,心跳的声音 (XinTiaoDeShengYin),Adeline Yeo (HP),CC BY 4.0,https://freemusicarchive.org/music/adeline-yeo-hp/single/xintiaodeshengyin/,Adeline Yeo (HP) - 心跳的声音 (XinTiaoDeShengYin) - CC BY 4.0,chill
music_safe/track-062.mp3,Andrey Petrov - The Road Ahead.mp3,The Road Ahead,Andrey Petrov,CC BY 4.0,https://freemusicarchive.org/music/andrey-petrov/sunset-reggae-dreams,Andrey Petrov - The Road Ahead - CC BY 4.0,chill
music_safe/track-063.mp3,Andrey Petrov - Быстрый ветер быстрый фанк.mp3,Быстрый ветер быстрый фанк,Andrey Petrov,CC BY 4.0,https://freemusicarchive.org/music/andrey-petrov/sunset-reggae-dreams,Andrey Petrov - Быстрый ветер быстрый фанк - CC BY 4.0,energy
music_safe/track-064.mp3,"Andrey Petrov - Лето, рилсы, смузи, танцы.mp3","Лето, рилсы, смузи, танцы",Andrey Petrov,CC BY 4.0,https://freemusicarchive.org/music/andrey-petrov/sunset-reggae-dreams,"Andrey Petrov - Лето, рилсы, смузи, танцы - CC BY 4.0",energy
